Filename	Ratio of hitting sets	Ratio of minimal hitting sets	Ratio of minimum hitting sets	Weighted approximation ratio	Overlap
9-6-9	100.00%	98.07%	85.46%	1.0740	0.4186
9-6-10	100.00%	76.51%	76.51%	1.1174	0.6989
9-7-1	100.00%	76.55%	76.55%	1.1173	0.7604
9-7-2	100.00%	99.05%	99.05%	1.0048	0.9905
9-7-3	100.00%	39.27%	16.96%	2.1208	0.3591
9-7-6	100.00%	66.49%	66.49%	1.1690	0.6648
9-7-10	100.00%	40.44%	18.54%	2.0619	0.3684
9-8-1	100.00%	44.67%	15.25%	2.0781	0.3333
9-8-2	100.00%	60.56%	55.78%	1.2406	0.5081
9-8-3	100.00%	97.50%	97.50%	1.0126	0.9749
9-8-4	100.00%	74.71%	74.71%	1.1265	0.7471
9-8-8	100.00%	39.22%	21.40%	2.0028	0.3413
9-8-9	100.00%	43.44%	14.78%	2.1541	0.3914
9-9-1	100.00%	96.72%	95.86%	1.0209	0.7998
9-9-2	100.00%	59.24%	53.05%	1.2634	0.5535
9-9-10	100.00%	77.43%	77.43%	1.1149	0.7278
9-10-1	100.00%	67.31%	67.31%	1.1794	0.6712
9-10-2	100.00%	44.84%	11.21%	2.2482	0.4085
9-10-3	100.00%	73.10%	62.13%	1.1894	0.7084
9-10-7	100.00%	99.55%	39.97%	1.3001	0.2959
9-10-8	100.00%	78.94%	78.94%	1.0702	0.5271
9-10-9	100.00%	51.16%	08.85%	1.7262	0.4806
9-10-10	100.00%	35.39%	15.89%	2.2710	0.2108
10-3-7	100.00%	38.69%	21.76%	2.0192	0.3476
10-4-5	100.00%	70.80%	70.80%	1.1483	0.7079
10-4-9	100.00%	38.39%	22.93%	1.9860	0.3427
10-5-3	100.00%	33.86%	19.30%	2.1549	0.2747
10-5-5	100.00%	35.24%	10.53%	2.4540	0.3026
10-5-6	100.00%	38.59%	27.83%	1.8782	0.3453
10-5-10	100.00%	47.80%	47.80%	1.2970	0.4780
10-6-2	100.00%	51.52%	51.52%	1.2674	0.5152
10-6-3	100.00%	50.53%	19.75%	1.9206	0.4645
10-6-4	100.00%	99.29%	72.68%	1.1366	0.9361
10-6-9	100.00%	38.05%	28.21%	1.8341	0.3421
10-8-1	100.00%	50.45%	50.45%	1.2810	0.5045
10-8-5	100.00%	54.54%	49.87%	1.2757	0.5131
10-8-9	100.00%	40.32%	20.26%	2.0255	0.3447
10-8-10	100.00%	36.16%	10.91%	2.3573	0.3377
10-10-1	100.00%	97.43%	97.43%	1.0129	0.9742
10-10-10	100.00%	70.20%	70.20%	1.1518	0.7001
